model_id_x,ROC_rank_x,avg_auc_x,model_id_y,ROC_rank_y,avg_auc_y,rank_x-rank_y,avg_auc_x=avg_auc_y,rank_x-rank_y_greater_cd_18.082,left,rope,right
rpart_0.001_all,2.694,0.901,adaboost_100_Adaboost.M1_all,3.508,0.898,-0.814,0.003,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_50_Adaboost.M1_all,3.548,0.898,-0.855,0.003,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_500_Adaboost.M1_all,4.131,0.897,-1.437,0.004,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_50_Adaboost.M1_clickstream,4.537,0.893,-1.843,0.008,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,-2.135,0.009,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_500_Adaboost.M1_clickstream,5.764,0.891,-3.07,0.01,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,nb_1_TRUE_1_clickstream,7.771,0.873,-5.077,0.028,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,nb_0_TRUE_1_clickstream,7.771,0.873,-5.077,0.028,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,nb_1_FALSE_1_clickstream,13.538,0.791,-10.844,0.11,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,nb_0_FALSE_1_clickstream,13.538,0.791,-10.844,0.11,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0_clickstream,17.375,0.752,-14.681,0.149,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.001_clickstream,17.375,0.752,-14.681,0.149,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.01_clickstream,17.58,0.751,-14.886,0.15,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.01_all,17.991,0.78,-15.297,0.121,False,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.1_all,18.306,0.779,-15.612,0.122,False,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.001_all,18.688,0.779,-15.994,0.122,False,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0_all,18.688,0.779,-15.994,0.122,False,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.1_clickstream,18.915,0.739,-16.221,0.162,False,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_1_clickstream,22.994,0.7,-20.3,0.201,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_1_all,23.012,0.752,-20.319,0.149,True,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,nb_0_TRUE_1_all,31.023,0.725,-28.33,0.176,True,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,nb_1_TRUE_1_all,31.023,0.725,-28.33,0.176,True,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_50_Real adaboost_clickstream,33.74,0.609,-31.046,0.292,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_100_Real adaboost_clickstream,34.755,0.596,-32.062,0.305,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_500_Real adaboost_clickstream,39.315,0.551,-36.622,0.35,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.01_quiz,39.416,0.605,-36.722,0.296,True,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_1_forum,39.455,0.514,-36.762,0.387,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0_quiz,39.477,0.605,-36.783,0.296,True,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.001_quiz,39.477,0.605,-36.783,0.296,True,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.1_quiz,39.742,0.604,-37.048,0.297,True,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_500_Adaboost.M1_forum,41.024,0.514,-38.331,0.387,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.1_forum,41.717,0.512,-39.023,0.389,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_1_quiz,42.514,0.596,-39.82,0.305,True,1.0,0.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_100_Adaboost.M1_forum,42.573,0.513,-39.879,0.388,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.01_forum,43.12,0.511,-40.426,0.39,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0.001_forum,43.421,0.511,-40.727,0.39,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,glmnet_0_0_forum,43.499,0.511,-40.806,0.39,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,adaboost_50_Adaboost.M1_forum,43.774,0.512,-41.08,0.389,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,nb_1_TRUE_1_forum,44.41,0.511,-41.717,0.39,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,nb_0_TRUE_1_forum,44.41,0.511,-41.717,0.39,True,0.0,1.0,0.0
rpart_0.001_all,2.694,0.901,nb_0_FALSE_1_quiz,45.172,0.587,-42.478,0.314,True,1.0,0.0,0.0
