model_id_1,model_id_2,left,rope,right
svmLinear2_1_quiz,svmLinear2_1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_1_all,0.0,0.0,1.0
svmLinear2_1_quiz,svmLinear2_10_quiz,0.68172,0.28542,0.03286
svmLinear2_1_quiz,svmLinear2_10_forum,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_10_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_10_all,0.0,0.0,1.0
svmLinear2_1_quiz,svmLinear2_0.1_quiz,0.0002,0.9997,0.0001
svmLinear2_1_quiz,svmLinear2_0.1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_0.1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_0.1_all,0.0,0.0,1.0
svmLinear2_1_quiz,svmLinear2_0.01_quiz,0.0532,0.66766,0.27914
svmLinear2_1_quiz,svmLinear2_0.01_forum,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_0.01_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_0.01_all,0.00114,0.0,0.99886
svmLinear2_1_quiz,svmLinear2_0.001_quiz,0.25992,0.69888,0.0412
svmLinear2_1_quiz,svmLinear2_0.001_forum,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_0.001_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,svmLinear2_0.001_all,0.12896,0.0,0.87104
svmLinear2_1_quiz,rpart_1_quiz,1.0,0.0,0.0
svmLinear2_1_quiz,rpart_1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,rpart_1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,rpart_1_all,1.0,0.0,0.0
svmLinear2_1_quiz,rpart_0.1_quiz,1.0,0.0,0.0
svmLinear2_1_quiz,rpart_0.1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,rpart_0.1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,rpart_0.1_all,0.99228,0.0,0.00772
svmLinear2_1_quiz,rpart_0.01_quiz,1.0,0.0,0.0
svmLinear2_1_quiz,rpart_0.01_forum,0.0,1.0,0.0
svmLinear2_1_quiz,rpart_0.01_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,rpart_0.01_all,0.0,0.0,1.0
svmLinear2_1_quiz,rpart_0.001_quiz,0.0012,0.0,0.9988
svmLinear2_1_quiz,rpart_0.001_forum,0.0,1.0,0.0
svmLinear2_1_quiz,rpart_0.001_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,rpart_0.001_all,0.0,0.0,1.0
svmLinear2_1_quiz,nb_1_TRUE_1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,nb_1_TRUE_1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,nb_1_TRUE_1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,nb_1_TRUE_1_all,0.0,0.0,1.0
svmLinear2_1_quiz,nb_1_FALSE_1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,nb_1_FALSE_1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,nb_1_FALSE_1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,nb_1_FALSE_1_all,1.0,0.0,0.0
svmLinear2_1_quiz,nb_0_TRUE_1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,nb_0_TRUE_1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,nb_0_TRUE_1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,nb_0_TRUE_1_all,0.0,0.0,1.0
svmLinear2_1_quiz,nb_0_FALSE_1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,nb_0_FALSE_1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,nb_0_FALSE_1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,nb_0_FALSE_1_all,1.0,0.0,0.0
svmLinear2_1_quiz,glmnet_0_1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_1_all,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_0_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_0_forum,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_0_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_0_all,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_0.1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_0.1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_0.1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_0.1_all,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_0.01_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_0.01_forum,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_0.01_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_0.01_all,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_0.001_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,glmnet_0_0.001_forum,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_0.001_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,glmnet_0_0.001_all,0.0,0.0,1.0
svmLinear2_1_quiz,adaboost_50_Real adaboost_quiz,1.0,0.0,0.0
svmLinear2_1_quiz,adaboost_50_Real adaboost_forum,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_50_Real adaboost_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_50_Real adaboost_all,0.0,0.0,1.0
svmLinear2_1_quiz,adaboost_50_Adaboost.M1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,adaboost_50_Adaboost.M1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_50_Adaboost.M1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_50_Adaboost.M1_all,0.0,0.0,1.0
svmLinear2_1_quiz,adaboost_500_Real adaboost_quiz,1.0,0.0,0.0
svmLinear2_1_quiz,adaboost_500_Real adaboost_forum,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_500_Real adaboost_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_500_Real adaboost_all,0.00546,0.0,0.99454
svmLinear2_1_quiz,adaboost_500_Adaboost.M1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,adaboost_500_Adaboost.M1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_500_Adaboost.M1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_500_Adaboost.M1_all,0.0,0.0,1.0
svmLinear2_1_quiz,adaboost_100_Real adaboost_quiz,1.0,0.0,0.0
svmLinear2_1_quiz,adaboost_100_Real adaboost_forum,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_100_Real adaboost_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_100_Real adaboost_all,0.0,0.0,1.0
svmLinear2_1_quiz,adaboost_100_Adaboost.M1_quiz,0.0,0.0,1.0
svmLinear2_1_quiz,adaboost_100_Adaboost.M1_forum,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_100_Adaboost.M1_clickstream,0.0,1.0,0.0
svmLinear2_1_quiz,adaboost_100_Adaboost.M1_all,0.0,0.0,1.0
svmLinear2_1_forum,svmLinear2_1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,svmLinear2_1_all,0.0,1.0,0.0
svmLinear2_1_forum,svmLinear2_10_quiz,0.0,1.0,0.0
svmLinear2_1_forum,svmLinear2_10_forum,0.0,1.0,0.0
svmLinear2_1_forum,svmLinear2_10_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,svmLinear2_10_all,0.0,1.0,0.0
svmLinear2_1_forum,svmLinear2_0.1_quiz,0.0,1.0,0.0
