model_id,simple_avg_ROC,algorithm_hyperparam,feat_type,algorithm,hyperparams
nb_1_FALSE_1_forum,0.4993856526522119,nb_1_FALSE_1,Forum,Nb,1_FALSE_1
nb_0_FALSE_1_forum,0.4993856526522119,nb_0_FALSE_1,Forum,Nb,0_FALSE_1
rpart_1_forum,0.5,rpart_1,Forum,Rpart,1
rpart_0.1_forum,0.5,rpart_0.1,Forum,Rpart,0.1
rpart_1_clickstream,0.5,rpart_1,Clickstream,Rpart,1
rpart_1_all,0.5,rpart_1,All,Rpart,1
rpart_1_quiz,0.5,rpart_1,Quiz,Rpart,1
rpart_0.1_quiz,0.5,rpart_0.1,Quiz,Rpart,0.1
rpart_0.01_forum,0.5000632628233962,rpart_0.01,Forum,Rpart,0.01
nb_1_FALSE_1_all,0.5006901248765268,nb_1_FALSE_1,All,Nb,1_FALSE_1
nb_0_FALSE_1_all,0.5006901248765268,nb_0_FALSE_1,All,Nb,0_FALSE_1
rpart_0.001_forum,0.5011355812348508,rpart_0.001,Forum,Rpart,0.001
adaboost_500_Real adaboost_forum,0.5039970927653797,adaboost_500_Real adaboost,Forum,Adaboost,500_Real adaboost
svmLinear2_0.001_forum,0.5041785722456928,svmLinear2_0.001,Forum,Svmlinear2,0.001
adaboost_100_Real adaboost_forum,0.5047860136354904,adaboost_100_Real adaboost,Forum,Adaboost,100_Real adaboost
svmLinear2_0.01_forum,0.5049970277394058,svmLinear2_0.01,Forum,Svmlinear2,0.01
svmLinear2_0.1_forum,0.5052272193761064,svmLinear2_0.1,Forum,Svmlinear2,0.1
adaboost_50_Real adaboost_forum,0.5058687833023143,adaboost_50_Real adaboost,Forum,Adaboost,50_Real adaboost
svmLinear2_10_forum,0.5060199933527253,svmLinear2_10,Forum,Svmlinear2,10
svmLinear2_1_forum,0.5062742411675114,svmLinear2_1,Forum,Svmlinear2,1
adaboost_500_Real adaboost_quiz,0.5096377385126523,adaboost_500_Real adaboost,Quiz,Adaboost,500_Real adaboost
rpart_0.01_quiz,0.510201765247467,rpart_0.01,Quiz,Rpart,0.01
glmnet_0_0_forum,0.5106741221380394,glmnet_0_0,Forum,Glmnet,0_0
glmnet_0_0.001_forum,0.5106945428268007,glmnet_0_0.001,Forum,Glmnet,0_0.001
glmnet_0_0.01_forum,0.5109586189124725,glmnet_0_0.01,Forum,Glmnet,0_0.01
nb_0_TRUE_1_forum,0.5110599646802947,nb_0_TRUE_1,Forum,Nb,0_TRUE_1
nb_1_TRUE_1_forum,0.5110599646802947,nb_1_TRUE_1,Forum,Nb,1_TRUE_1
adaboost_50_Adaboost.M1_forum,0.5119744092138254,adaboost_50_Adaboost.M1,Forum,Adaboost,50_Adaboost.M1
